FPC Code,Mfg,Frame Name Cat,Color,Material,Mkd A,Mkd DBL,Tpl,,,,,,,,,,,,,,,
409717001896,PERC,MCGEE FLORETTE,TORTOISE,METAL,52,16,135,,,,,,,,,,,,,,,
409717001698,PERC,MCGEE GAIL,BITTERSWEET,METAL,57,16,135,,,,,,,,,,,,,,,
409717001704,PERC,MCGEE GAIL,HEATHER,METAL,57,16,135,,,,,,,,,,,,,,,
409717001490,PERC,MCGEE GENEVIEVE,BLACK,METAL,52,15,135,,,,,,,,,,,,,,,
409717001506,PERC,MCGEE GENEVIEVE,BROWN,METAL,52,15,135,,,,,,,,,,,,,,,
409717001674,PERC,MCGEE GIA,BLACK,METAL,52,17,135,,,,,,,,,,,,,,,
409717001681,PERC,MCGEE GIA,BROWN,METAL,52,17,135,,,,,,,,,,,,,,,
409717001902,PERC,MCGEE GWEN,MOON BLOOMS,METAL,53,17,135,,,,,,,,,,,,,,,
409717001919,PERC,MCGEE GWEN,RIO,METAL,53,17,135,,,,,,,,,,,,,,,
409717001438,PERC,MCGEE VERA BRADLEY HILLARY,TUTTI FRUTTI,PLASTIC,51,17,140,,,,,,,,,,,,,,,
409717001209,PERC,MCGEE HOPE,ELLIE BLUE,METAL,52,16,135,,,,,,,,,,,,,,,
409717001216,PERC,MCGEE HOPE,PRISCILLA PINK,METAL,52,16,135,,,,,,,,,,,,,,,
409717001582,PERC,MCGEE IRENE,BITTERSWEET,PLASTIC,53,16,133,,,,,,,,,,,,,,,
409717001599,PERC,MCGEE IRENE,COCOA MOSS,PLASTIC,53,16,133,,,,,,,,,,,,,,,
409717001100,PERC,L'AMY AMERCIA JANE,MATTE EGGPLANT,METAL,52,17,135,,,,,,,,,,,,,,,
409717001094,PERC,L'AMY AMERCIA JANE,MATTE CHOCOLATE,METAL,52,17,135,,,,,,,,,,,,,,,
409717001759,PERC,MCGEE JASMINE,FLOWER SHOWER,PLASTIC,54,16,138,,,,,,,,,,,,,,,
409717001414,PERC,MCGEE JASMINE,RIBBONS,PLASTIC,54,16,138,,,,,,,,,,,,,,,
409717001520,PERC,MCGEE JEANETTE,WINE,PLASTIC,52,17,140,,,,,,,,,,,,,,,
409717001513,PERC,MCGEE JEANETTE,BLACK,PLASTIC,52,17,140,,,,,,,,,,,,,,,
409717001360,PERC,MCGEE JENNA,GO WILD,PLASTIC,53,16,138,,,,,,,,,,,,,,,
409717001377,PERC,MCGEE JENNA,MIDNIGHT BLUES,PLASTIC,53,16,138,,,,,,,,,,,,,,,
409717001285,PERC,MCGEE JERI,WINE CRYSTAL,PLASTIC,53,18,138,,,,,,,,,,,,,,,
